分类,序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
财务类因子,108,综合收益总额,59.02,0.94,0.36,0.67,0.239,0.976
财务类因子,109,营业利润(亏损以“－”号填列),66.24,0.11,0.81,0.88,0.156,0.787
财务类因子,110,营业外支出,315.84,0.4,0.62,0.14,0.325,0.367
财务类因子,111,营业外收入,86.79,0.54,0.27,0.79,0.381,0.545
财务类因子,112,营业总成本,121.41,0.5,0.08,0.2,0.516,0.827
财务类因子,113,营业总成本的差错金额,1.2,0.66,0.12,0.36,0.648,0.254
财务类因子,114,营业总成本的调整项目,-0.75,0.04,0.96,0.74,0.419,0.054
财务类因子,115,营业总收入,109.75,0.53,0.52,0.52,0.582,0.717
财务类因子,116,营业成本,82.32,0.29,0.3,0.69,0.213,0.118
财务类因子,117,营业收入,93.75,0.2,0.48,0.48,0.718,0.185
财务类因子,118,营业收入的调整项目,-266.14,0.21,0.61,0.88,0.334,0.353
财务类因子,119,被合并方在合并前实现的净利润,0.07,0.01,0.41,0.45,0.934,0.707
财务类因子,120,证券承销业务净收入,-240.73,0.91,0.82,0.2,0.659,0.325
财务类因子,121,财务费用,17.41,0.07,0.13,0.12,0.324,0.716
财务类因子,122,资产减值损失（损失以“-”号填列）,9.88,0.59,0.31,0.99,0.036,0.48
财务类因子,123,资产处置收益（损失以“-”号填列）,20.81,0.29,0.48,0.83,0.429,0.473
财务类因子,124,赔付支出净额,10.26,0.54,0.96,0.12,0.299,0.907
财务类因子,125,退保金,-55.76,0.42,0.12,0.63,0.196,0.209
财务类因子,126,销售费用,37.71,0.77,0.95,0.22,0.568,0.973
财务类因子,127,应付票据及应付账款,126.13,0.42,0.95,0.53,0.539,0.85
财务类因子,128,应收票据及应收账款,87.1,0.17,0.16,0.13,0.697,0.358
财务类因子,129,预收保费,10.45,0.45,0.06,0.16,0.921,0.709
财务类因子,130,预收款项,465.62,0.66,0.89,0.26,0.151,0.946
财务类因子,131,以摊余成本计量的金融资产,0.63,0.98,0.99,0.48,0.457,0.867
财务类因子,132,资产的调整项目,-19.84,0.2,0.18,0.22,0.645,0.64
财务类因子,133,可供出售金融资产,0.67,0.67,0.64,0.67,0.712,0.686
财务类因子,134,应付债券,21.73,0.5,0.96,0.25,0.483,0.9
财务类因子,135,应付债券：永续债,115.06,0.79,0.98,0.69,0.597,0.064
财务类因子,136,应付债券：优先股,-34.33,0.5,0.01,0.84,0.681,0.359
财务类因子,137,拆入资金,15.57,0.63,0.83,0.66,0.688,0.28
财务类因子,138,向中央银行借款,15.57,0.17,0.28,0.11,0.015,0.516
财务类因子,139,代理买卖证券款,13.64,0.26,0.64,0.89,0.512,0.153
财务类因子,140,买入返售金融资产,6.97,0.64,0.13,0.42,0.725,0.007
财务类因子,141,存出资本保证金,10.45,0.94,1.0,0.79,0.498,0.631
财务类因子,142,资本公积,28.72,0.61,0.85,0.24,0.84,0.273
财务类因子,143,货币资金,59.01,0.08,0.94,0.14,0.668,0.419
财务类因子,144,在建工程(合计)：在建工程,40.5,0.42,0.25,0.12,0.445,0.792
财务类因子,145,在建工程(合计)：工程物资,18.65,0.7,0.79,0.85,0.091,0.945
