序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
271,终止经营净利润,-61.33%,0.88%,0.36%,0.76%,0.290,0.654
272,综合收益总额,59.02%,0.94%,0.36%,0.67%,0.239,0.976
273,营业利润(亏损以“－”号填列),66.24%,0.11%,0.81%,0.88%,0.156,0.787
274,营业外支出,315.84%,0.40%,0.62%,0.14%,0.325,0.367
275,营业外收入,86.79%,0.54%,0.27%,0.79%,0.381,0.545
276,营业总成本,121.41%,0.50%,0.08%,0.20%,0.516,0.827
277,营业总成本的差错金额,1.20%,0.66%,0.12%,0.36%,0.648,0.254
278,营业总成本的调整项目,-0.75%,0.04%,0.96%,0.74%,0.419,0.054
279,营业总收入,109.75%,0.53%,0.52%,0.52%,0.582,0.717
280,营业成本,82.32%,0.29%,0.30%,0.69%,0.213,0.118
281,营业收入,93.75%,0.20%,0.48%,0.48%,0.718,0.185
282,营业收入的调整项目,-266.14%,0.21%,0.61%,0.88%,0.334,0.353
283,被合并方在合并前实现的净利润,0.07%,0.01%,0.41%,0.45%,0.934,0.707
284,证券承销业务净收入,-240.73%,0.91%,0.82%,0.20%,0.659,0.325
285,财务费用,17.41%,0.07%,0.13%,0.12%,0.324,0.716
286,资产减值损失（损失以“-”号填列）,9.88%,0.59%,0.31%,0.99%,0.036,0.480
287,资产处置收益（损失以“-”号填列）,20.81%,0.29%,0.48%,0.83%,0.429,0.473
288,赔付支出净额,10.26%,0.54%,0.96%,0.12%,0.299,0.907
289,退保金,-55.76%,0.42%,0.12%,0.63%,0.196,0.209
290,销售费用,37.71%,0.77%,0.95%,0.22%,0.568,0.973
291,应付票据及应付账款,126.13%,0.42%,0.95%,0.53%,0.539,0.850
292,应收票据及应收账款,87.10%,0.17%,0.16%,0.13%,0.697,0.358
293,预收保费,10.45%,0.45%,0.06%,0.16%,0.921,0.709
294,预收款项,465.62%,0.66%,0.89%,0.26%,0.151,0.946
295,以摊余成本计量的金融资产,0.63%,0.98%,0.99%,0.48%,0.457,0.867
296,资产的调整项目,-19.84%,0.20%,0.18%,0.22%,0.645,0.640
297,可供出售金融资产,0.67%,0.67%,0.64%,0.67%,0.712,0.686
298,应付债券,21.73%,0.50%,0.96%,0.25%,0.483,0.900
299,应付债券：永续债,115.06%,0.79%,0.98%,0.69%,0.597,0.064
300,应付债券：优先股,-34.33%,0.50%,0.01%,0.84%,0.681,0.359
301,拆入资金,15.57%,0.63%,0.83%,0.66%,0.688,0.280
302,向中央银行借款,15.57%,0.17%,0.28%,0.11%,0.015,0.516
303,代理买卖证券款,13.64%,0.26%,0.64%,0.89%,0.512,0.153
304,买入返售金融资产,6.97%,0.64%,0.13%,0.42%,0.725,0.007
305,存出资本保证金,10.45%,0.94%,1.00%,0.79%,0.498,0.631
306,资本公积,28.72%,0.61%,0.85%,0.24%,0.840,0.273
307,货币资金,59.01%,0.08%,0.94%,0.14%,0.668,0.419
308,在建工程(合计)：在建工程,40.50%,0.42%,0.25%,0.12%,0.445,0.792
309,在建工程(合计)：工程物资,18.65%,0.70%,0.79%,0.85%,0.091,0.945
310,在建工程(合计),38.82%,0.80%,0.18%,0.32%,0.432,0.103
311,合同资产,20.72%,0.81%,0.62%,0.31%,0.760,0.347
312,合同负债,92.99%,0.26%,0.42%,0.84%,0.486,0.536
313,流动负债的调整项目,0.41%,0.37%,0.35%,0.29%,0.334,0.005
314,流动资产的调整项目,-0.11%,0.61%,0.29%,0.83%,0.939,0.278
